"SENTENCE LENGTH","BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"Less than 1 year","30","73","1","2","106","9.23%"
"1 - 2 Years","99","146","3","0","248","21.60%"
"3 - 5 Years","151","283","2","3","439","38.24%"
"6 - 10 Years","101","160","1","0","262","22.82%"
"11 - 20 Years","35","41","1","1","78","6.79%"
"21 -30 Years","5","5","0","0","10","0.87%"
"Greater Than 30 Years","2","1","0","0","3","0.26%"
"Life","2","0","0","0","2","0.17%"
"Verification Pending","0","0","0","0","0","0.00%"
"TOTAL","425","709","8","6","1,148","100.00%"
