"OFFENSE","Average Sentence Length in Years"
"Capital Rape","10.0"
"Child Molestation","8.4"
"Entice Child for Indecent Purpose","4.0"
"Exploitation of Child","6.8"
"Failure to Register as Sex Offender","2.3"
"Fondling","4.9"
"Fondling a Child","7.1"
"Forcible Sexual Intercourse","8.0"
"Gratification of Lust","5.6"
"Incest","6.0"
"Kidnap Minor","2.0"
"Rape","21.9"
"Sex Assault","19.0"
"Sex Offense","6.5"
"Sexual Abuse - Vulnerable Adult","2.0"
"Sexual Battery","6.5"
"Statutory Rape","4.5"
"Unlawful Touching of Child","4.6"
"Video Voyeurism","1.7"
