"County","Offenders","Percent"
"Claiborn","1","11.1%"
"Coahoma","1","11.1%"
"Desoto","1","11.1%"
"Franklin","1","11.1%"
"Hinds","2","22.2%"
"Sunflower","1","11.1%"
"Warren","1","11.1%"
"Wilkinson","1","11.1%"
"TOTAL","9","100.0%"
