"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","23","8","0","0","31"
"Burglary","55","35","0","0","90"
"Homicide","6","7","0","0","13"
"Manslaughter","13","7","1","0","21"
"Property","148","140","1","2","291"
"Possession of Drugs","69","38","2","0","109"
"Possession of Drugs with Intent","20","35","2","1","58"
"Robbery","17","6","0","0","23"
"Sale of Drugs","91","39","1","0","131"
"Sex Offense","31","42","1","0","74"
"Violent","8","16","0","0","24"
"TOTAL","458","365","8","3","865"
