"OFFENSE","Average Sentence Length in Years"
"Aggravated Assault","10.4"
"Burglary","6.8"
"Homicide","42.6"
"Manslaughter","23.9"
"Property","4.0"
"Drug Possession","4.4"
"Drug Possession with Intent","8.4"
"Robbery","16.7"
"Sale of Drugs","8.4"
"Sex Offense","12.1"
"Violent","10.6"
