"OFFENSE","Average Age at Time of Offense"
"Capital Rape","28.9"
"Child Molestation","29.6"
"Entice Child for Indecent Purpose","41.9"
"Exploitation of Child","39.9"
"Failure to Register as Sex Offender","39.5"
"Fondling","41.8"
"Fondling a Child","40.3"
"Forcible Sexual Intercourse","37.9"
"Gratification of Lust","35.8"
"Incest","43.0"
"Kidnap  Minor","33.0"
"Rape","26.9"
"Sex Assault","28.8"
"Sex Offense","28.6"
"Sexual Battery","30.1"
"Statutory Rape","26.0"
"Unlawful Touching of Child","40.5"
"Video Voyeurism","31.9"
