"Classification","Female Classification","Percent"
"Minimum-Community","239","14.03%"
"Minimum-Non -Community","404","23.72%"
"Medium","507","29.77%"
"Close","121","7.11%"
"DR","1","0.06%"
"Unclassified","431","25.31%"
"Total","1703","100.00%"
