"RACE","MALE","FEMALE","TOTAL","PERCENT"
"WHITE","6378","982","7360","34.53%"
"BLACK","12985","695","13680","64.18%"
"HISPANIC","162","19","181","0.85%"
"OTHER","86","7","93","0.44%"
"TOTAL","19611","1703","21314","100.00%"
