"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","987","531","6","9","2","1535"
"Minimum-Non -Community","1919","1326","21","8","2","3276"
"Medium","6120","2879","92","36","2","9129"
"Close","2099","519","15","7","0","2640"
"DR","23","15","0","1","0","39"
"Unclassified","1837","1108","28","16","3","2992"
"Total","12985","6378","162","77","9","19611"
