"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","63","175","1","0","0","239"
"Minimum-Non -Community","169","225","8","2","0","404"
"Medium","201","299","5","2","0","507"
"Close","81","38","1","0","1","121"
"DR","0","1","0","0","0","1"
"Unclassified","181","244","4","2","0","431"
"Total","695","982","19","6","1","1703"
