"Classification","Male and Female","Percent"
"Minimum-Community","1774","8.32%"
"Minimum-Non -Community","3681","17.27%"
"Medium","9636","45.21%"
"Close","2760","12.95%"
"DR","40","0.19%"
"Unclassified","3423","16.06%"
"Total","21314","100.00%"
