"Facility","Jul ('15)","Aug","Sep","Oct"
"Mississippi State Penitentiary","3,117","3,100","3,121","3,172"
"Central Mississippi Correctional Facility","2,522","2,475","2,533","2,631"
"Youthful Offender Unit","21","25","28","27"
"South Mississippi Correctional Institution","2,533","2,525","2,619","2,696"
"County Jails","1,178","1,097","1,160","1,256"
"Community Work Centers","1,114","1,168","1,154","1,137"
"County/Regional Facilities","4,222","4,213","3,992","3,854"
"Private Prisons","3,830","3,839","3,666","3,844"
"Restitution Centers","12","12","11","12"
"Total","18,549","18,454","18,284","18,629"
