"Classification","Male Classification","Percent"
"Minimum-Community","1535","7.83%"
"Minimum-Non -Community","3277","16.71%"
"Medium","9129","46.55%"
"Close","2639","13.46%"
"DR","39","0.20%"
"Unclassified","2992","15.26%"
"Total","19611","100.00%"
