"OFFENSE","MALE","FEMALE","TOTAL","PERCENT"
"DRUG","4577","571","5148","24.15%"
"NON-VIOLENT","3316","455","3771","17.69%"
"SEX","2831","68","2899","13.60%"
"VIOLENT","8874","606","9480","44.48%"
"UNAVAILABLE","13","3","16","0.08%"
"Total","19611","1703","21314","100.00%"
