"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","9,284","38.33%"
"Property","10,741","44.34%"
"Violent","2,277","9.40%"
"Sex","939","3.88%"
"Aggravated Assault","982","4.05%"
"TOTAL","24,223","100.00%"
