"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,019","38.05%"
"Non-Violent","9,978","42.10%"
"Sex","1,009","4.26%"
"Violent","3,695","15.59%"
"TOTAL","23,701","100.00%"
