"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","9,637","38.41%"
"Property","11,342","45.21%"
"Aggravated Assualt","1,016","4.05%"
"Violent","2,196","8.75%"
"Sex","898","3.58%"
"TOTAL","25,089","100.00%"
