"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","9,480","38.01%"
"Property","11,762","47.16%"
"Violent","2,784","11.16%"
"Sex","917","3.68%"
"TOTAL","24,943","100.00%"
