"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,102","26.09%"
"Probation - Compact","1,070","2.76%"
"Probation - Nonadjudicated","4,304","11.12%"
"Probation - Post Release","12,954","33.46%"
"PROBATION TOTAL","28,430","73.43%"
"Parole","6,668","17.22%"
"Parole - Compact","300","0.77%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,968","18.00%"
"Intensive Supervision Program - Court","1,215","3.14%"
"Intensive Supervision Program - Prison","427","1.10%"
"Earned Release Supervision","1,656","4.28%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3,321","8.58%"
"TOTAL","38,719","100.00%"
