"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,200","29.27%"
"Probation - Compact","1,016","2.92%"
"Probation - Nonadjudicated","3,971","11.40%"
"Probation - Post Release","10,009","28.72%"
"PROBATION TOTAL","25,196","72.31%"
"Parole","6,223","17.86%"
"Parole - Compact","335","0.96%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,558","18.82%"
"Intensive Supervision Program - Court","1,171","3.36%"
"Intensive Supervision Program - Prison","439","1.26%"
"Earned Release Supervision","1,438","4.13%"
"Medical Release","43",".12%"
"COMMUNITY INMATE TOTAL","3,091","8.87%"
"TOTAL","34,845","100.00%"
