"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,535","31.95%"
"Probation - Compact","1,164","3.53%"
"Probation - Nonadjudicated","3,619","10.98%"
"Probation - Post Release","9,294","28.19%"
"PROBATION TOTAL","24,612","74.65%"
"Parole","5,102","15.47%"
"Parole - Compact","398","1.21%"
"PAROLE TOTAL","5,500","16.68%"
"Intensive Supervision Program - Court","1,051","3.19%"
"Intensive Supervision Program - Prison","293","0.89%"
"Earned Release Supervision","1,479","4.49%"
"Medical Release","37","0.11%"
"COMMUNITY INMATE TOTAL","2,860","8.67%"
"TOTAL","32,972","100.00%"
