"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,614","49.59%"
"Compact Probation","1,057","4.51%"
"Nonadjudicated","2,336","9.97%"
"Post Release","3,977","16.98%"
"PROBATION TOTAL","18,984","81.06%"
"Parole","1,375","5.87%"
"Compact Parole","404","1.73%"
"Suspension","10","0.04%"
"PAROLE TOTAL","1,789","7.64%"
"Intensive Supervision Program - Court","1,037","4.43%"
"Intensive Supervision Program - Prison","353","1.51%"
"Earned Release Supervision","1,257","5.37%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,647","11.30%"
"TOTAL","23,420","100.00%"
