"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,705","25.13%"
"Probation - Compact","1,107","2.87%"
"Probation - Nonadjudicated","4,135","10.71%"
"Probation - Post Release","13,624","35.28%"
"PROBATION TOTAL","28,571","73.99%"
"Parole","6,525","16.90%"
"Parole - Compact","277","0.72%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,802","17.61%"
"Intensive Supervision Program - Court","1,137","2.94%"
"Intensive Supervision Program - Prison","480","1.24%"
"Earned Release Supervision","1,605","4.16%"
"Medical Release","22",".06%"
"COMMUNITY INMATE TOTAL","3,244","8.40%"
"TOTAL","38,617","100.00%"
