"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,693","25.27%"
"Probation - Compact","1,117","2.91%"
"Probation - Nonadjudicated","4,108","10.71%"
"Probation - Post Release","13,210","34.44%"
"PROBATION TOTAL","28,128","73.34%"
"Parole","6,731","17.55%"
"Parole - Compact","288","0.75%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","7,019","18.30%"
"Intensive Supervision Program - Court","1,137","2.96%"
"Intensive Supervision Program - Prison","431","1.12%"
"Earned Release Supervision","1,616","4.21%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3,207","8.36%"
"TOTAL","38,354","100.00%"
