"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","17,516","59.45%"
"Probation - Compact","1,184","4.02%"
"Probation - Nonadjudicated","1,454","4.94%"
"Probation - Post Release","3,350","11.37%"
"PROBATION TOTAL","23,504","79.78%"
"Parole","1,953","6.63%"
"Parole - Compact","475","1.61%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,428","8.24%"
"Intensive Supervision Program - Court","1,247","4.23%"
"Intensive Supervision Program - Prison","395","1.34%"
"Earned Release Supervision","1,881","6.38%"
"Medical Release","7","0.02%"
"COMMUNITY INMATE TOTAL","3,530","11.98%"
"TOTAL","29,462","100.00%"
