"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","6,371","17.68%"
"Probation - Compact","1,273","3.53%"
"Probation - Nonadjudicated","3,695","10.25%"
"Probation - Post Release","15,895","44.10%"
"TVC Probation","153","0.42%"
"PROBATION TOTAL","27,387","75.98%"
"Parole","6,486","17.99%"
"Parole - Compact","568","1.58%"
"Parole - Suspension","0","0.00%"
"TVC Parole","181","0.50%"
"PAROLE TOTAL","7,235","20.07%"
"Intensive Supervision Program - Court","654","1.81%"
"Intensive Supervision Program - Prison","46","0.13%"
"Earned Release Supervision","707","1.96%"
"Medical Release","14","0.04%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1,423","6.69%"
"TOTAL","36,045","100.00%"
