"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","15,885","53.09%"
"Probation - Compact","1,103","3.69%"
"Probation - Nonadjudicated","1,893","6.33%"
"Probation - Post Release","5,361","17.92%"
"PROBATION TOTAL","24,242","81.03%"
"Parole","2,016","6.74%"
"Parole - Compact","487","1.63%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,503","8.37%"
"Intensive Supervision Program - Court","1,275","4.26%"
"Intensive Supervision Program - Prison","274","0.92%"
"Earned Release Supervision","1,615","5.40%"
"Medical Release","10","0.03%"
"COMMUNITY INMATE TOTAL","3,174","10.61%"
"TOTAL","29,919","100.00%"
