"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","14,823","48.75%"
"Probation - Compact","1,091","3.59%"
"Probation - Nonadjudicated","2,381","7.83%"
"Probation - Post Release","6,539","21.51%"
"PROBATION TOTAL","24,834","81.67%"
"Parole","1,943","6.39%"
"Parole - Compact","454","1.49%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,397","7.88%"
"Intensive Supervision Program - Court","1,259","4.14%"
"Intensive Supervision Program - Prison","214","0.70%"
"Earned Release Supervision","1,693","5.57%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,175","10.44%"
"TOTAL","30,406","100.00%"
