"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,217","51.53%"
"Compact Probation","1,034","5.21%"
"Nonadjudicated","1,930","9.73%"
"Post Release","2,271","11.45%"
"PROBATION TOTAL","15,452","77.93%"
"Parole","1,474","7.43%"
"Compact Parole","395","1.99%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,877","9.47%"
"Intensive Supervision Program - Court","1,183","5.97%"
"Intensive Supervision Program - Prison","270","1.36%"
"Earned Release Supervision","1,046","5.28%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,499","12.60%"
"TOTAL","19,828","100.00%"
