"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,827","51.29%"
"Compact Probation","1,043","4.94%"
"Nonadjudicated","2,215","10.49%"
"Post Release","2,784","13.19%"
"PROBATION TOTAL","16,869","79.91%"
"Parole","1,372","6.50%"
"Compact Parole","395","1.87%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1,774","8.40%"
"Intensive Supervision Program - Court","1,151","5.45%"
"Intensive Supervision Program - Prison","279","1.32%"
"Earned Release Supervision","1,038","4.92%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,468","11.69%"
"TOTAL","21,111","100.00%"
