"STATUS","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Probation","16,701","62.39%"
"Compact Probation","1,061","3.96%"
"Nonadjudicated","1,071","4.00%"
"Post Release","2,603","9.72%"
"PROBATION TOTAL","21,436","80.08%"
"Parole","1,758","6.57%"
"Compact Parole","416","1.55%"
"Suspension","0","0.00%"
"PAROLE TOTAL","2,174","8.12%"
"Intensive Supervision Program - Court","1,003","3.75%"
"Intensive Supervision Program - Prison","403","1.51%"
"Earned Release Supervision","1,748","6.53%"
"Medical Release","4","0.01%"
"COMMUNITY INMATE TOTAL","3,158","11.80%"
"TOTAL","26,768","100.00%"
