"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,351","23.61%"
"Probation - Compact","1,125","2.84%"
"Probation - Nonadjudicated","4,239","10.70%"
"Probation - Post Release","15,139","38.23%"
"PROBATION TOTAL","29,854","75.39%"
"Parole","6,160","15.55%"
"Parole - Compact","287","0.72%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,447","16.28%"
"Intensive Supervision Program - Court","1,105","2.79%"
"Intensive Supervision Program - Prison","503","1.27%"
"Earned Release Supervision","1,666","4.21%"
"Medical Release","27",".07%"
"COMMUNITY INMATE TOTAL","3,301","8.34%"
"TOTAL","39,602","100.00%"
