"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","16,234","65.48%"
"Compact Probation","1,024","4.13%"
"Nonadjudicated","706","2.85%"
"Post Release","1,686","6.80%"
"PROBATION TOTAL","19,650","79.26%"
"Parole","1,564","6.31%"
"Compact Parole","394","1.59%"
"Suspension","0","0.00%"
"PAROLE TOTAL","1,958","7.90%"
"Intensive Supervision Program","1,306","5.27%"
"Earned Release Supervision","1,274","5.14%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","3,185","12.85%"
"TOTAL","24,793","100.00%"
