"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","17,809","57.32%"
"Probation - Compact","1,249","4.02%"
"Probation - Nonadjudicated","1,791","5.76%"
"Probation - Post Release","4,282","13.78%"
"PROBATION TOTAL","25,131","80.89%"
"Parole","1,988","6.40%"
"Parole - Compact","509","1.64%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,497","8.04%"
"Intensive Supervision Program - Court","1,283","4.13%"
"Intensive Supervision Program - Prison","326","1.05%"
"Earned Release Supervision","1,821","5.86%"
"Medical Release","11","0.04%"
"COMMUNITY INMATE TOTAL","3,441","11.08%"
"TOTAL","31,069","100.00%"
