"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,408","31.46%"
"Probation - Compact","1,148","3.47%"
"Probation - Nonadjudicated","3,659","11.06%"
"Probation - Post Release","9,430","28.50%"
"PROBATION TOTAL","24,645","74.49%"
"Parole","5,203","15.73%"
"Parole - Compact","392","1.18%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5,595","16.91%"
"Intensive Supervision Program - Court","1,038","3.14%"
"Intensive Supervision Program - Prison","296","0.89%"
"Earned Release Supervision","1,474","4.46%"
"Medical Release","36","0.11%"
"COMMUNITY INMATE TOTAL","2,844","8.60%"
"TOTAL","33,084","100.00%"
