"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,673","51.63%"
"Compact Probation","1,042","5.04%"
"Nonadjudicated","2,190","10.59%"
"Post Release","2,459","11.89%"
"PROBATION TOTAL","16,364","79.15%"
"Parole","1,429","6.91%"
"Compact Parole","392","1.90%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1,828","8.84%"
"Intensive Supervision Program - Court","1,159","5.61%"
"Intensive Supervision Program - Prison","273","1.32%"
"Earned Release Supervision","1,050","5.08%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,482","12.01%"
"TOTAL","20,674","100.00%"
