"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","15,191","49.99%"
"Probation - Compact","1,075","3.54%"
"Probation - Nonadjudicated","2,316","7.62%"
"Probation - Post Release","6,167","20.29%"
"PROBATION TOTAL","24,749","81.44%"
"Parole","1,944","6.40%"
"Parole - Compact","452","1.49%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,396","7.88%"
"Intensive Supervision Program - Court","1,287","4.24%"
"Intensive Supervision Program - Prison","266","0.88%"
"Earned Release Supervision","1,682","5.53%"
"Medical Release","9","0.03%"
"COMMUNITY INMATE TOTAL","3,244","10.67%"
"TOTAL","30,389","100.00%"
