"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","19,005","67.94%"
"Compact Probation","1,061","3.79%"
"Nonadjudicated","541","1.93%"
"Post Release","1,150","4.11%"
"PROBATION TOTAL","21,757","77.78%"
"Parole","1,927","6.89%"
"Compact Parole","406","1.45%"
"Suspension","0","0.00%"
"COMMUNITY INMATE TOTAL","2,333","8.34%"
"Intensive Supervision Program - Court","1,998","7.14%"
"Intensive Supervision Program - Prison","570","2.04%"
"Earned Release Supervision","1,315","4.70%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","3,883","13.88%"
"TOTAL","27,973","100.00%"
