"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,614","51.14%"
"Compact Probation","1,017","4.90%"
"Nonadjudicated","2,142","10.32%"
"Post Release","2,513","12.11%"
"PROBATION TOTAL","16,286","78.47%"
"Parole","1,479","7.13%"
"Compact Parole","385","1.85%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,872","9.02%"
"Intensive Supervision Program - Court","1,192","5.74%"
"Intensive Supervision Program - Prison","289","1.39%"
"Earned Release Supervision","1,116","5.38%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,597","12.51%"
"TOTAL","20,755","100.00%"
