"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,764","33.01%"
"Probation - Compact","1,206","3.70%"
"Probation - Nonadjudicated","3,541","10.86%"
"Probation - Post Release","9,153","28.07%"
"PROBATION TOTAL","24,664","75.63%"
"Parole","4,697","14.40%"
"Parole - Compact","412","1.26%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5,109","15.67%"
"Intensive Supervision Program - Court","1,033","3.17%"
"Intensive Supervision Program - Prison","245","0.75%"
"Earned Release Supervision","1,524","4.67%"
"Medical Release","37","0.11%"
"COMMUNITY INMATE TOTAL","2,839","8.71%"
"TOTAL","32,612","100.00%"
