"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","9,457","20.25%"
"Probation - Compact","1,337","2.86%"
"Probation - Nonadjudicated","4,649","9.95%"
"Probation - Post Release","18,955","40.58%"
"TVC Probation","153","0.33%"
"PROBATION TOTAL","34,551","73.97%"
"Parole","9,045","19.37%"
"Parole - Compact","517","1.11%"
"Parole - Suspension","0","0.00%"
"TVC Parole","344","0.74%"
"PAROLE TOTAL","9,906","21.21%"
"Intensive Supervision Program - Court","1,032","2.21%"
"Intensive Supervision Program - Prison","228","0.49%"
"Earned Release Supervision","973","2.08%"
"Medical Release","17","0.04%"
"COMMUNITY INMATE TOTAL","2,250","6.69%"
"TOTAL","46,707","100.00%"
