"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","5,418","15.90%"
"Probation - Compact","1,360","3.99%"
"Probation - Nonadjudicated","3,324","9.75%"
"Probation - Post Release","13,599","39.90%"
"TVC Probation","100","0.29%"
"PROBATION TOTAL","23,801","69.84%"
"Parole","8,065","23.67%"
"Parole - Compact","602","1.77%"
"Parole - Suspension","0","0.00%"
"TVC Parole","240","0.70%"
"PAROLE TOTAL","8,907","26.14%"
"Intensive Supervision Program - Court","711","2.09%"
"Intensive Supervision Program - Prison","33","0.10%"
"Earned Release Supervision","605","1.78%"
"Medical Release","14","0.04%"
"FTR- Monitoring","5","0.01%"
"Conditional Release","3","0.009%"
"COMMUNITY INMATE TOTAL","1,371","4.02%"
"TOTAL","34,079","100.00%"
