"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".08%"
"47","13","0","0","770","59.37%"
"13","12","0","0","192","14.80%"
"8","3","0","0","182","14.03%"
"0","5","0","0","35","2.70%"
"0","2","0","0","27","2.08%"
"7","12","0","0","90","6.94%"
"75","47","0","0","1,297","100.00%"
