"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
OFFENSES","PERCENT","AVERAGE SENTENCE 
LENGTH IN YEARS","AVERAGE AGE 
AT OFFENSE"
"Burglary","34","6.28%","5.18","52.84"
"Homicide/Manslaughter","18","3.33%","37.61","61.36"
"Possession of Drugs","133","24.58%","4.31","53.75"
"Sale of Drugs","82","15.16%","8.02","53.80"
"Robbery","9","1.66%","22.89","49.35"
"Sex Offense","39","7.21%","14.21","58.25"
"Violent","25","4.62%","7.28","54.13"
"Property","201","37.15%","2.86","55.38"
