"COUNTY","OFFENDERS  PERCENT",""
"Pearl River","0",".00%"
"Perry","1",".97%"
"Pike","4","3.88%"
"Pontotoc","0",".00%"
"Prentiss","1",".97%"
"Quitman","0",".00%"
"Rankin","1",".97%"
"Scott","2","1.94%"
"Sharkey","0",".00%"
"Simpson","1",".97%"
"Smith","0",".00%"
"Stone","0",".00%"
"Sunflower","0",".00%"
"Tallahatchie","1",".97%"
"Tate","2","1.94%"
"Tippah","0",".00%"
"Tishomingo","0",".00%"
"Tunica","0",".00%"
"Union","1",".97%"
"Walthall","0",".00%"
"Warren","3","2.91%"
"Washington","6","5.83%"
"Wayne","1",".97%"
"Webster","0",".00%"
"Wilkinson","3","2.91%"
"Winston","0",".00%"
"Yalobusha","0",".00%"
