"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
OFFENSES","PERCENT","AVERAGE SENTENCE 
LENGTH IN YEARS","AVERAGE AGE 
AT OFFENSE"
"Burglary","27","26.21%","5.77","17.21"
"Homicide/Manslaughter","4","3.88%","28.25","16.44"
"Drug Possession","2","1.94%","8.50","16.78"
"Drug Sale","28","27.18%","7.93","16.66"
"Robbery","6","5.83%","5.33","15.92"
"Sex Offense","10","9.71%","4.20","16.27"
"Violent","26","25.24%","5.20","17.29"
"Property","10","9.80%","5.40","17.17"
