"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER OF 
OFFENSES","PERCENT","AVERAGE SENTENCE 
LENGTH IN YEARS","AVERAGE AGE 
AT OFFENSE"
"Burglary","1,562","16.38%","5.39","28.09"
"Homicide/Manslaughter","211","2.21%","27.13","29.26"
"Possession of Drugs","2,407","25.24%","4.54","32.39"
"Sale of Drugs","1,297","13.60%","6.82","31.56"
"Robbery","542","5.68%","8.86","25.75"
"Sex Offense","369","3.87%","10.91","33.49"
"Violent","474","4.97%","6.90","31.11"
"Property","2,676","28.06%","3.43","34.03"
