"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","1","40-49","1,744"
"15","6","50-59","465"
"16","25","60-69","59"
"17","71","70-79","14"
"18-19","492","80+","3"
"20-29","4,154","Verification Pending","0"
"30-39","2,504","TOTAL","9,538"
