"","Jul-05","Aug-05","Sep-05","Oct-05","Nov-05","Dec-05","Jan-06"
"Escape - Return","11","15","9","7","15","6","12"
"Interstate Compact","1","1","0","0","0","0","0"
"ISP-Prison","0","0","0","0","0","1","0"
"New Prisoner","426","474","413","431","367","371","415"
"Parole Revoked - Alleged","0","0","0","0","0","0","0"
"Parole Revoked - New","1","0","1","0","1","1","0"
"Parole Revoked - Technical","0","0","0","0","0","0","0"
"Parole Violation","1","0","0","0","0","0","0"
"Post Release Probation","0","0","1","0","1","1","1"
"Probation Revoked","257","292","224","250","176","144","264"
"Return-Abscond","0","0","0","0","0","0","0"
"Return - ERS","47","38","27","39","37","36","50"
"Return - House Arrest","44","44","38","49","40","32","37"
"Returned Parole","19","3","4","34","8","36","22"
"Sentenced to Probation","1","0","0","0","0","0","1"
"TOTAL","808","867","717","810","645","628","802"
