"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC","OTHER"
"Armed Carjacking","3","0","0","0"
"Armed Robbery","19","3","0","0"
"Robbery","3","0","0","0"
"TOTAL","25","3","0","0"
