"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","1",".50%"
"2","0","0","0","7","3.48%"
"1","6","0","0","79","39.30%"
"0","0","0","0","1",".50%"
"0","2","0","0","16","7.96%"
"0","0","0","0","2","1.00%"
"1","0","0","0","3","1.49%"
"0","0","0","0","1",".50%"
"0","0","0","0","8","3.98%"
"0","0","0","0","4","1.99%"
"1","0","0","0","4","1.99%"
"0","0","0","0","5","2.49%"
"3","1","0","0","11","5.47%"
"0","0","0","0","2","1.00%"
"4","0","0","0","13","6.47%"
"0","0","0","0","5","2.49%"
"0","0","0","0","2","1.00%"
"15","15","0","0","201","100.00%"
