"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","678"
"15","0","50-59","195"
"16","1","60-69","17"
"17","1","70-79","3"
"18-19","106","80+","0"
"20-29","1,689","Verification Pending","0"
"30-39","1,014","TOTAL","3,704"
