"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".27%"
"0","0","0","0","10","2.71%"
"0","0","0","0","1",".27%"
"0","0","0","0","1",".27%"
"0","0","0","0","1",".27%"
"0","0","0","0","7","1.90%"
"0","0","0","0","35","9.49%"
"0","1","0","0","28","7.59%"
"0","0","0","0","15","4.07%"
"0","0","0","0","13","3.52%"
"0","0","0","0","1",".27%"
"0","0","0","0","3",".81%"
"0","0","0","0","20","5.42%"
"0","0","0","0","1",".27%"
"0","0","0","0","3",".81%"
"0","5","0","0","121","32.79%"
"0","0","0","0","2",".54%"
"0","1","0","0","70","18.97%"
"0","0","0","0","36","9.76%"
"0","7","0","0","369","100.00%"
