"","Feb-06","Mar-06","Apr-06","May-06","Jun-06","Total","Percent"
"Escape - Return","13","9","14","18","14","143","1.50%"
"Interstate Compact","0","0","0","0","0","2",".02%"
"ISP-Prison","0","0","0","0","0","1",".01%"
"New Prisoner","492","583","536","455","425","5,388","56.49%"
"Parole Revoked - Alleged","1","1","1","0","0","3",".03%"
"Parole Revoked - New","1","0","0","0","0","5",".05%"
"Parole Revoked - Technical","0","2","7","2","0","11",".12%"
"Parole Violation","0","0","0","0","0","1",".01%"
"Post Release Probation","3","1","1","1","0","10",".10%"
"Probation Revoked","218","263","251","226","244","2,809","29.45%"
"Return-Abscond","0","0","1","0","2","3",".03%"
"Return - ERS","28","39","27","51","39","458","4.80%"
"Return - House Arrest","31","56","32","43","43","489","5.13%"
"Returned Parole","20","16","15","8","28","213","2.23%"
"Sentenced to Probation","0","0","0","0","0","2",".02%"
"TOTAL","807","970","885","804","795","9,538","100.00%"
