"MALES","","","",""
"ROBBERY","BLACK","WHITE","HISPANIC","OTHER"
"Armed Carjacking","11","0","0","0"
"Armed Robbery","208","36","1","0"
"Carjacking Strong Arm","2","0","0","0"
"Robbery","181","43","0","1"
"Strong Armed Robbery","28","6","0","0"
"TOTAL","430","85","1","1"
