"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","4","44.44%"
"0","0","0","0","5","55.56%"
"0","0","0","0","9","100.00%"
