"RACE","","",""
"","MALE","FEMALE","TOTAL"
"White","1,038","276","1,314"
"Black","2,167","173","2,340"
"Hispanic","39","6","45"
"Other","2","0","2"
"Unknown Race","2","0","2"
"Unknown Gender","1","0","1"
"TOTAL","3,249","455","3,704"
