"MALES","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"BURGLARY","887","568","5","10"
"HOMICIDE/MANSLAUGHTER","144","47","2","0"
"PROPERTY","1,178","949","22","19"
"POSSESSION OF DRUGS","1,160","875","36","3"
"ROBBERY","430","85","1","1"
"SALE OF DRUGS","1,008","163","3","1"
"SEX OFFENSES","167","189","5","1"
"VIOLENT","310","111","2","1"
"TOTAL","5,284","2,987","76","36"
