"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","1","0","0","3",".12%"
"1","0","0","0","1",".04%"
"56","51","0","0","878","36.48%"
"1","0","0","0","7",".29%"
"0","1","0","0","13",".54%"
"7","4","3","0","196","8.14%"
"0","1","1","0","5",".21%"
"0","4","0","0","46","1.91%"
"0","55","0","0","257","10.68%"
"7","7","1","0","113","4.69%"
"6","3","0","0","98","4.07%"
"4","8","1","0","100","4.15%"
"0","13","0","0","63","2.62%"
"16","55","0","0","450","18.70%"
"0","25","0","0","165","6.86%"
"0","1","0","0","12",".50%"
"98","229","6","0","2,407","100.00%"
