"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1",".50%"
"0","1","0","0","1",".50%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
"0","0","0","0","4","1.99%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
"1","0","0","0","6","2.99%"
"0","2","0","0","2","1.00%"
"0","0","0","0","2","1.00%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
"1","0","0","0","1",".50%"
"0","3","0","0","10","4.98%"
"0","0","0","0","1",".50%"
"0","0","0","0","1",".50%"
