"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","19","9.00%"
"1","1","0","0","55","26.07%"
"10","5","0","0","135","63.98%"
"0","0","0","0","2",".95%"
"12","6","0","0","211","100.00%"
