"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"0","0","0","0","1","10.00%"
"1","1","0","0","9","90.00%"
"1","1","0","0","10","100.00%"
