"MALES","","","",""
"SEX OFFENSES","BLACK","WHITE","HISPANIC","OTHER"
"Capital Rape","0","0","1","0"
"Child Molestation","2","8","0","0"
"Child Pornography","0","1","0","0"
"Computer Luring of Child for Sexual Conduct","0","1","0","0"
"Entice Child for Indecent Purposes","0","1","0","0"
"Exploitation/Child","2","5","0","0"
"Failure to Register/Sex Offender","19","16","0","0"
"Fondling","8","17","2","0"
"Fondling a Child","6","8","0","1"
"Gratification/Lust","5","8","0","0"
"Incest","1","0","0","0"
"Peeping Tom","2","1","0","0"
"Rape","13","7","0","0"
"Rape with a Weapon","1","0","0","0"
"Sex Assault","2","1","0","0"
"Sexual Battery","52","64","0","0"
"Sex Penetratation/Incarcerated by Law Enforce","2","0","0","0"
"Statutory Rape","40","28","1","0"
"Unlawful Touching a Child","12","23","1","0"
"TOTAL","167","189","5","1"
