"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","1","0","0","5","1.05%"
"0","0","0","0","12","2.53%"
"0","0","0","0","10","2.11%"
"1","1","0","0","6","1.27%"
"26","7","0","0","325","68.57%"
"1","0","0","0","16","3.38%"
"1","2","0","0","23","4.85%"
"4","0","0","0","13","2.74%"
"1","0","0","0","7","1.48%"
"0","0","0","0","4",".84%"
"0","0","0","0","2",".42%"
"0","0","0","0","2",".42%"
"0","0","0","0","1",".21%"
"0","0","0","0","1",".21%"
"0","0","0","0","11","2.32%"
"1","0","0","0","21","4.43%"
"0","0","0","0","1",".21%"
"2","1","0","0","14","2.95%"
"38","12","0","0","474","100.00%"
